program,num_cores,np,num_tasks_per_node,num_tasks_per_socket,N,P,M,block_size,exe_time,blas_exe_time,f_norm
"omp",24,24,-1,-1,1000,1000,1000,16,0.013272,0.032802,2.784345106643e-16
"omp-local-non-divisible",24,24,-1,-1,1000,1000,1000,32,0.013487,0.024490,6.182673209908e-16
"omp",24,24,-1,-1,1000,1000,1000,16,0.013335,0.023518,2.784345106643e-16
"omp-local-non-divisible",24,24,-1,-1,1000,1000,1000,32,0.013022,0.020902,6.182673209908e-16
"omp",24,24,-1,-1,1000,1000,1000,16,0.013462,0.020783,2.784345106643e-16
"omp-local-non-divisible",24,24,-1,-1,1000,1000,1000,32,0.013503,0.022430,6.182673209908e-16
"omp",24,24,-1,-1,9600,9600,9600,16,8.955207,1.069008,5.377749827633e-16
"omp-local",24,24,-1,-1,9600,9600,9600,32,6.823557,1.072132,2.089153316796e-15
"omp-local-non-divisible",24,24,-1,-1,9600,9600,9600,32,7.220993,1.077909,2.089153316796e-15
"omp",24,24,-1,-1,9600,9600,9600,16,8.942006,1.076264,5.377749827633e-16
"omp-local",24,24,-1,-1,9600,9600,9600,32,6.817078,1.050251,2.089153316796e-15
"omp-local-non-divisible",24,24,-1,-1,9600,9600,9600,32,7.226710,1.066377,2.089153316796e-15
"omp",24,24,-1,-1,9600,9600,9600,16,8.892160,1.082612,5.377749827633e-16
"omp-local",24,24,-1,-1,9600,9600,9600,32,6.826243,1.073329,2.089153316796e-15
"omp-local-non-divisible",24,24,-1,-1,9600,9600,9600,32,7.226302,1.078328,2.089153316796e-15
"omp",24,24,-1,-1,1024,1024,1024,16,0.020125,0.043309,2.786308447968e-16
"omp-local",24,24,-1,-1,1024,1024,1024,32,0.008405,0.024229,6.283805737608e-16
"omp-local-non-divisible",24,24,-1,-1,1024,1024,1024,32,0.013392,0.022482,6.283805737608e-16
"omp",24,24,-1,-1,1024,1024,1024,16,0.019925,0.020484,2.786308447968e-16
"omp-local",24,24,-1,-1,1024,1024,1024,32,0.008538,0.021299,6.283805737608e-16
"omp-local-non-divisible",24,24,-1,-1,1024,1024,1024,32,0.013604,0.021950,6.283805737608e-16
"omp",24,24,-1,-1,1024,1024,1024,16,0.019867,0.022506,2.786308447968e-16
"omp-local",24,24,-1,-1,1024,1024,1024,32,0.008325,0.019589,6.283805737608e-16
"omp-local-non-divisible",24,24,-1,-1,1024,1024,1024,32,0.013252,0.020896,6.283805737608e-16
"omp",24,24,-1,-1,8192,8192,8192,16,8.999733,0.742469,4.340821583705e-16
"omp-local",24,24,-1,-1,8192,8192,8192,32,3.894864,0.748129,1.668286891437e-15
"omp-local-non-divisible",24,24,-1,-1,8192,8192,8192,32,4.164256,0.756222,1.668286891437e-15
"omp",24,24,-1,-1,8192,8192,8192,16,12.969563,0.753056,4.340821583705e-16
"omp-local",24,24,-1,-1,8192,8192,8192,32,3.884839,0.761256,1.668286891437e-15
"omp-local-non-divisible",24,24,-1,-1,8192,8192,8192,32,4.190705,0.752255,1.668286891437e-15
"omp",24,24,-1,-1,8192,8192,8192,16,8.713121,0.763480,4.340821583705e-16
"omp-local",24,24,-1,-1,8192,8192,8192,32,3.886302,0.764811,1.668286891437e-15
"omp-local-non-divisible",24,24,-1,-1,8192,8192,8192,32,4.177399,0.761664,1.668286891437e-15
"omp",24,24,-1,-1,1024,1024,8192,16,0.208599,0.047756,2.788620268224e-16
"omp-local",24,24,-1,-1,1024,1024,8192,32,0.082045,0.034912,6.285406683764e-16
"omp-local-non-divisible",24,24,-1,-1,1024,1024,8192,32,0.104417,0.035834,6.285406683764e-16
"omp",24,24,-1,-1,1024,1024,8192,16,0.209782,0.034654,2.788620268224e-16
"omp-local",24,24,-1,-1,1024,1024,8192,32,0.082005,0.035046,6.285406683764e-16
"omp-local-non-divisible",24,24,-1,-1,1024,1024,8192,32,0.104729,0.035649,6.285406683764e-16
"omp",24,24,-1,-1,1024,1024,8192,16,0.206993,0.035765,2.788620268224e-16
"omp-local",24,24,-1,-1,1024,1024,8192,32,0.081980,0.033771,6.285406683764e-16
"omp-local-non-divisible",24,24,-1,-1,1024,1024,8192,32,0.103921,0.038064,6.285406683764e-16
"omp",24,24,-1,-1,8192,8192,1024,16,1.091808,0.128000,4.342802710578e-16
"omp-local",24,24,-1,-1,8192,8192,1024,32,0.512547,0.126491,1.668278344410e-15
"omp-local-non-divisible",24,24,-1,-1,8192,8192,1024,32,0.673759,0.127548,1.668278344410e-15
"omp",24,24,-1,-1,8192,8192,1024,16,1.105735,0.128304,4.342802710578e-16
"omp-local",24,24,-1,-1,8192,8192,1024,32,0.510674,0.128597,1.668278344410e-15
"omp-local-non-divisible",24,24,-1,-1,8192,8192,1024,32,0.673754,0.129168,1.668278344410e-15
"omp",24,24,-1,-1,8192,8192,1024,16,1.089050,0.133061,4.342802710578e-16
"omp-local",24,24,-1,-1,8192,8192,1024,32,0.511952,0.145176,1.668278344410e-15
"omp-local-non-divisible",24,24,-1,-1,8192,8192,1024,32,0.674244,0.126875,1.668278344410e-15
"omp",24,24,-1,-1,8192,1024,8192,16,1.000289,0.135440,2.787547456262e-16
"omp-local",24,24,-1,-1,8192,1024,8192,32,0.455145,0.131778,6.288455854559e-16
"omp-local-non-divisible",24,24,-1,-1,8192,1024,8192,32,0.495445,0.122934,6.288455854559e-16
"omp",24,24,-1,-1,8192,1024,8192,16,0.998266,0.124175,2.787547456262e-16
"omp-local",24,24,-1,-1,8192,1024,8192,32,0.455225,0.133014,6.288455854559e-16
"omp-local-non-divisible",24,24,-1,-1,8192,1024,8192,32,0.495602,0.123069,6.288455854559e-16
"omp",24,24,-1,-1,8192,1024,8192,16,0.998407,0.124270,2.787547456262e-16
"omp-local",24,24,-1,-1,8192,1024,8192,32,0.454889,0.135478,6.288455854559e-16
"omp-local-non-divisible",24,24,-1,-1,8192,1024,8192,32,0.495616,0.122041,6.288455854559e-16
