program,multiplier,precision,n,p,m,block_x,block_y,grid_x,grid_y,NTB,exe_time
"task4","gpu","float",1100,1100,1100,16,16,69,69,3,4.611456
"task4","gpu","float",1100,1100,1100,16,16,69,69,3,4.615104
"task4","gpu","float",1100,1100,1100,16,16,69,69,3,4.612800
"task4","gpu","float",1100,1100,1100,16,16,69,69,3,4.598112
"task4","gpu","float",1100,1100,1100,16,16,69,69,3,4.608224
"task4","gpu","float",1100,1100,1100,16,16,69,69,3,4.595200
"task4","gpu","float",1100,1100,1100,16,16,69,69,3,4.602176
"task4","gpu","float",1100,1100,1100,16,16,69,69,3,4.606400
"task4","gpu","float",1100,1100,1100,16,16,69,69,3,4.607552
